Name,Title,Authors,GitHub,Link,PaperLink,Released,OpenSource,Language,Type,Distribution
anndataR,"Bring the power and flexibility of AnnData to the R ecosystem, allowing you to effortlessly manipulate and analyze your single-cell data.","R Cannoodt, L Zappia, M Morgan, L Deconinck, D Bredikhin, I Virshup, BM Schilder, C Sang-aram",https://github.com/scverse/anndataR,,,TRUE,TRUE,"R, Python",package,GitHub
gptPhD,Query Large Language Models for the purposes of systematically extracting biomedical knowledge.,"BM Schilder, KB Murphy, NG Skene",https://github.com/neurogenomics/gptPhD,,,FALSE,TRUE,R,package,GitHub
ThreeWayTest,Summary statistics-based association test for identifying the pleiotropic effects with set of genetic variants,"D Bu, BM Schilder",https://github.com/bschilder/ThreeWayTest,,,TRUE,TRUE,R,package,GitHub
SCAVENGE,Variant to function mapping at single-cell resolution through network propagation,"F Yu, BM Schilder",https://github.com/sankaranlab/SCAVENGE,,https://doi.org/10.1038/s41587-022-01341-y,TRUE,TRUE,R,package,GitHub
rworkflows,"Continuous integration for R packages. Automates testing, documentation website building, and containerised deployment","BM Schilder, AE Murphy, NG Skene",https://github.com/neurogenomics/rworkflows ,,https://doi.org/10.21203/rs.3.rs-2399015/v1,TRUE,TRUE,"R, Python",package,GitHub
TIPseeker,R package for post-processing [single-cell] TIP-seq data,"BM Schilder, T Ronkko, NG Skene",https://github.com/neurogenomics/TIPseeker ,,,FALSE,FALSE,R,package,GitHub
PeakyFinders,"R package for mining, calling, and importing epigenomic peaks","BM Schilder, NG Skene",https://github.com/neurogenomics/PeakyFinders ,,,FALSE,FALSE,R,package,GitHub
graphiti,Extract colour palettes from graffiti artworks.,BM Schilder,https://github.com/bschilder/graphiti,,,FALSE,TRUE,R,package,GitHub
SkillNet,Creates user-specific contribution networks from GitHub Organization repositories,BM Schilder,https://github.com/neurogenomics/SkillNet,,,TRUE,TRUE,R,package,GitHub
phenoRx,Make cell type-specific predictions for patients based on clinical phenotypes and/or risk genes.,BM Schilder,https://github.com/neurogenomics/phenomix ,,,FALSE,TRUE,R,package,GitHub
phenomix,R package for the exploration and analysis of many genotype-phenotype datasets at once,BM Schilder,https://github.com/neurogenomics/phenomix ,,,FALSE,TRUE,"R, Python",package,GitHub
MAGMA_Celltyping,Identify cell types underlying the associations found in GWAS summary statistics,"BM Schilder, AE Murphy, J Bryois, NG Skene",https://github.com/neurogenomics/MAGMA_Celltyping ,,,TRUE,TRUE,R,package,GitHub
EWCE,Expression Weighted Celltype Enrichment,"AE Murphy, BM Schilder, NG Skene",https://github.com/NathanSkene/EWCE ,,,TRUE,TRUE,R,package,Bioconductor
EpiArchives,Public archive for EpiCompare reports.,"BM Schilder, S Choi",https://github.com/neurogenomics/EpiArchives,,https://doi.org/10.1101/2022.07.22.501149,TRUE,TRUE,R,database,GitHub
